,country,status,life_expectancy,infant_deaths,alcohol,hepatitis_b,measles,polio,total_expenditure,diphtheria,hiv_aids,gdp,thinness_1_19_years,schooling,bmi,percentage_expenditure,adult_mortality,year,population
26,Albania,Developing,73.5,1.0,5.16,98.0,6,97.0,6.12,98.0,0.1,2673.78728253113,1.8,10.8,49.9,26.99312143,15.0,2005,311487.0
27,Albania,Developing,73.0,1.0,4.54,99.0,7,98.0,6.38,97.0,0.1,2373.57984371994,1.8,10.9,48.9,221.8428,17.0,2004,326939.0
28,Albania,Developing,72.8,1.0,4.29,97.0,8,97.0,6.27,97.0,0.1,1846.11881331912,1.9,10.7,47.9,14.71928882,18.0,2003,339616.0
29,Albania,Developing,73.3,1.0,3.73,96.0,16,98.0,6.3,98.0,0.1,1425.12484888368,2.0,10.7,46.9,104.5169157,15.0,2002,3511.0
30,Albania,Developing,73.6,1.0,4.25,96.0,18,97.0,6.0,97.0,0.1,1281.65939343074,2.1,10.6,46.0,96.20557078,14.0,2001,36173.0
31,Albania,Developing,72.6,1.0,3.66,96.0,662,97.0,6.26,97.0,0.1,1126.68331762741,2.1,10.7,45.0,91.71154052,11.0,2000,38927.0
33,Algeria,Developing,75.4,21.0,0.01,95.0,0,95.0,7.21,95.0,0.1,5493.05666265351,6.0,14.4,58.4,54.2373183,11.0,2014,39113313.0
34,Algeria,Developing,75.3,21.0,0.53,95.0,25,95.0,7.12,95.0,0.1,5499.58733105334,5.9,14.4,57.2,544.4507432,112.0,2013,38338562.0
35,Algeria,Developing,75.1,21.0,0.66,95.0,18,95.0,6.14,95.0,0.1,5592.22011465753,5.9,14.4,56.1,555.9260834,113.0,2012,37565847.0
36,Algeria,Developing,74.9,21.0,0.56,95.0,112,95.0,5.29,95.0,0.1,5455.67902952706,5.9,14.0,55.0,509.0020405,116.0,2011,36819558.0
37,Algeria,Developing,74.7,21.0,0.45,95.0,103,95.0,5.12,95.0,0.1,4480.78743864927,5.9,13.6,53.9,430.7175861,119.0,2010,36117637.0
38,Algeria,Developing,74.4,20.0,0.5,94.0,107,94.0,5.36,95.0,0.1,3883.27129000861,6.0,13.1,52.8,352.0636419,123.0,2009,3546576.0
39,Algeria,Developing,74.1,20.0,0.46,91.0,217,92.0,4.2,93.0,0.1,4923.63027791716,6.0,12.6,51.8,43.08717334,126.0,2008,3486715.0
40,Algeria,Developing,73.8,20.0,0.44,9.0,0,95.0,3.82,95.0,0.1,3950.51426027785,6.0,12.3,5.8,320.3239241,129.0,2007,34376.0
41,Algeria,Developing,73.4,20.0,0.36,8.0,944,95.0,3.36,95.0,0.1,3478.71041155691,6.1,12.3,49.8,270.2401962,132.0,2006,33777915.0
42,Algeria,Developing,72.9,19.0,0.5,83.0,2302,88.0,3.24,88.0,0.1,3113.09570649146,6.1,12.0,48.9,2.548922758,136.0,2005,33288437.0
43,Algeria,Developing,72.3,19.0,0.45,81.0,3289,86.0,3.54,86.0,0.1,2610.18542243488,6.2,11.7,47.9,220.393699,14.0,2004,3283196.0
81,Argentina,Developing,76.2,8.0,7.93,94.0,1,92.0,4.79,94.0,0.1,12334.7982453893,1.0,17.3,62.2,847.3717463,118.0,2014,42981515.0
82,Argentina,Developing,76.0,8.0,8.28,94.0,0,99.0,4.99,94.0,0.1,13080.2547323367,1.0,17.3,61.6,1001.796332,119.0,2013,42539925.0
83,Argentina,Developing,75.9,9.0,8.35,91.0,2,99.0,5.2,91.0,0.1,13082.664325572,1.0,17.2,61.0,1133.558003,12.0,2012,4296739.0
84,Argentina,Developing,75.7,9.0,8.11,91.0,3,93.0,5.89,91.0,0.1,12848.8641969705,1.0,17.1,6.4,1504.329462,12.0,2011,41656879.0
85,Argentina,Developing,75.5,10.0,8.15,94.0,17,95.0,6.55,94.0,0.1,10385.9644319555,1.0,16.8,59.8,187.610955,121.0,2010,41223889.0
86,Argentina,Developing,75.6,10.0,8.33,94.0,3,97.0,7.63,94.0,0.1,8225.13758261645,1.0,16.5,59.2,1398.042623,126.0,2009,479947.0
87,Argentina,Developing,75.4,10.0,8.41,9.0,0,94.0,6.66,93.0,0.1,9020.87332314274,1.0,16.3,58.6,1413.73543,126.0,2008,4382389.0
88,Argentina,Developing,74.8,10.0,8.16,85.0,0,92.0,6.49,91.0,0.1,7245.44685667197,1.1,16.3,58.0,1105.659031,129.0,2007,3997224.0
89,Argentina,Developing,75.2,11.0,7.75,84.0,0,92.0,6.68,91.0,0.1,5919.01233837714,1.1,16.1,57.5,961.1774676,127.0,2006,3955889.0
90,Argentina,Developing,74.9,11.0,7.53,88.0,0,95.0,6.85,98.0,0.1,5109.85224490403,1.1,16.3,56.9,96.16653429,127.0,2005,39145488.0
91,Argentina,Developing,74.7,11.0,7.63,81.0,0,91.0,6.84,98.0,0.1,4277.72157290954,1.1,16.3,56.3,719.3663797,13.0,2004,38728696.0
92,Argentina,Developing,74.1,11.0,7.62,73.0,0,95.0,8.22,96.0,0.1,3349.80630031036,1.2,16.4,55.7,57.58467352,137.0,2003,3839379.0
93,Argentina,Developing,74.1,12.0,7.81,66.0,0,94.0,8.31,93.0,0.1,2593.404563368,1.2,16.3,55.1,470.1869145,138.0,2002,3788937.0
97,Armenia,Developing,74.6,1.0,3.91,93.0,13,95.0,4.48,93.0,0.1,3986.23162376713,2.1,12.7,54.1,295.6087143,12.0,2014,29622.0
98,Armenia,Developing,74.4,1.0,3.79,95.0,10,96.0,4.55,95.0,0.1,3838.17387997786,2.1,12.7,53.3,279.4290812,123.0,2013,289359.0
99,Armenia,Developing,74.4,1.0,3.89,95.0,0,96.0,4.48,95.0,0.1,3681.84469060495,2.0,12.7,52.6,274.1526986,121.0,2012,2881922.0
100,Armenia,Developing,73.9,1.0,4.09,95.0,0,96.0,3.71,95.0,0.1,3525.80719813557,2.0,12.7,51.9,260.9963826,128.0,2011,2875581.0
101,Armenia,Developing,73.5,1.0,4.23,94.0,2,96.0,4.56,94.0,0.1,3218.37829927419,2.0,12.3,51.2,224.3212014,132.0,2010,2877311.0
102,Armenia,Developing,73.3,1.0,3.96,93.0,0,94.0,4.55,93.0,0.1,2994.34047090816,2.0,11.9,5.7,201.1855461,137.0,2009,2888584.0
103,Armenia,Developing,73.2,1.0,3.96,89.0,0,91.0,3.8,89.0,0.1,4010.86138084833,2.0,12.3,5.1,2.8888979,14.0,2008,29822.0
104,Armenia,Developing,73.5,1.0,3.99,85.0,1,90.0,4.31,88.0,0.1,3139.28071035448,2.0,11.7,49.7,44.57219966,132.0,2007,293356.0
105,Armenia,Developing,72.9,1.0,4.01,78.0,137,87.0,4.58,87.0,0.1,2158.1480742298,2.0,11.2,49.2,244.5352767,141.0,2006,29585.0
106,Armenia,Developing,73.0,1.0,4.25,91.0,2281,92.0,5.25,9.0,0.1,1643.75688889146,2.0,10.9,48.8,20.21822828,137.0,2005,2981259.0
107,Armenia,Developing,73.0,1.0,3.81,91.0,1783,93.0,5.5,91.0,0.1,1191.92100563238,2.0,10.9,48.4,97.74087744,132.0,2004,3612.0
108,Armenia,Developing,72.7,1.0,3.03,93.0,4,96.0,5.56,94.0,0.1,930.125472654125,2.0,10.8,48.1,7.341493148,134.0,2003,31786.0
109,Armenia,Developing,72.6,1.0,2.86,91.0,40,96.0,5.4,94.0,0.1,783.241214960091,2.1,10.8,47.8,57.17810403,134.0,2002,333897.0
110,Armenia,Developing,72.6,1.0,2.86,69.0,69,97.0,5.94,94.0,0.1,694.423455373229,2.1,11.1,47.4,53.19373012,141.0,2001,35655.0
111,Armenia,Developing,72.0,1.0,2.9,55.0,15,96.0,6.25,93.0,0.1,622.740922945281,2.1,11.2,47.1,32.75626853,142.0,2000,369588.0
113,Australia,Developed,82.7,1.0,9.71,91.0,340,92.0,9.42,92.0,0.1,62510.7911705641,0.6,20.4,66.1,10769.36305,6.0,2014,2346694.0
114,Australia,Developed,82.5,1.0,9.87,91.0,158,91.0,9.36,91.0,0.1,68150.1070413215,0.6,20.3,65.5,11734.85381,61.0,2013,23117353.0
115,Australia,Developed,82.3,1.0,10.03,91.0,199,92.0,9.36,92.0,0.1,68012.1479005934,0.6,20.1,65.0,11714.99858,61.0,2012,22728254.0
116,Australia,Developed,82.0,1.0,10.3,92.0,190,92.0,9.2,92.0,0.1,62517.8337471503,0.6,19.8,64.4,10986.26527,63.0,2011,223424.0
117,Australia,Developed,81.9,1.0,10.52,92.0,70,92.0,9.2,92.0,0.1,52022.1255961876,0.7,19.5,63.9,8875.786493,64.0,2010,223175.0
118,Australia,Developed,81.7,1.0,10.62,94.0,104,92.0,9.5,92.0,0.1,42772.3591664498,0.7,19.1,63.4,7172.275229,66.0,2009,216917.0
119,Australia,Developed,81.3,1.0,10.76,94.0,65,92.0,8.78,92.0,0.1,49601.6567082178,0.7,19.1,62.9,8547.292357,66.0,2008,212492.0
120,Australia,Developed,81.3,1.0,10.56,94.0,11,92.0,8.53,92.0,0.1,40960.0544948199,0.7,19.0,62.5,872.5986092,66.0,2007,28276.0
121,Australia,Developed,81.2,1.0,10.31,95.0,0,92.0,8.49,92.0,0.1,36044.9228108485,0.7,20.3,62.0,6187.062017,66.0,2006,26979.0
122,Australia,Developed,81.0,1.0,10.3,95.0,10,92.0,8.45,92.0,0.1,33999.2428575835,0.7,20.3,61.5,579.1331637,67.0,2005,23948.0
123,Australia,Developed,86.0,1.0,9.84,95.0,70,92.0,8.57,92.0,0.1,30430.6764374443,0.7,20.7,6.9,588.568371,69.0,2004,21274.0
124,Australia,Developed,83.0,1.0,9.97,95.0,91,92.0,8.32,93.0,0.1,23447.0310006717,0.7,20.6,6.3,3829.550928,71.0,2003,198954.0
125,Australia,Developed,79.9,1.0,9.84,95.0,32,92.0,8.39,92.0,0.1,20082.4832672749,0.7,20.1,59.6,46.3871819,73.0,2002,196514.0
126,Australia,Developed,79.9,1.0,9.53,94.0,141,91.0,8.18,92.0,0.1,19490.8611097303,0.7,20.5,59.0,3064.301144,75.0,2001,19413.0
129,Austria,Developed,81.4,0.0,12.32,98.0,117,98.0,11.21,98.0,0.1,51717.4959405515,1.8,15.9,57.1,8350.193523,66.0,2014,8541575.0
130,Austria,Developed,81.1,0.0,11.82,95.0,0,95.0,11.14,95.0,0.1,50716.7087062864,1.8,15.7,56.6,90.58501176,68.0,2013,8479375.0
131,Austria,Developed,88.0,0.0,12.26,92.0,36,92.0,11.17,92.0,0.1,48567.69528642,1.8,15.7,56.1,7878.372355,7.0,2012,8429991.0
132,Austria,Developed,88.0,0.0,12.04,89.0,68,89.0,1.94,89.0,0.1,51374.9584066934,1.7,15.7,55.7,8272.306757,73.0,2011,8391643.0
133,Austria,Developed,84.0,0.0,12.1,86.0,52,86.0,11.17,86.0,0.1,46858.0432733717,1.7,15.4,55.2,7423.228774,75.0,2010,836344.0
134,Austria,Developed,82.0,0.0,11.3,83.0,49,83.0,11.19,83.0,0.1,47963.1794023217,1.7,15.3,54.7,8053.557638,77.0,2009,8343323.0
135,Austria,Developed,84.0,0.0,12.0,83.0,448,83.0,1.6,83.0,0.1,51708.7657541758,1.7,15.1,54.2,8329.731655,76.0,2008,8321496.0
136,Austria,Developed,81.0,0.0,12.5,85.0,20,85.0,1.4,85.0,0.1,46855.7717452095,1.7,15.2,53.7,7453.8644,8.0,2007,8295487.0
137,Austria,Developed,79.8,0.0,12.4,83.0,23,83.0,1.35,83.0,0.1,40635.2818159724,1.7,15.0,53.2,69.92899358,81.0,2006,8268641.0
138,Austria,Developed,79.4,0.0,12.4,86.0,9,86.0,1.53,86.0,0.1,38403.1338770715,1.7,14.9,52.7,5992.588029,85.0,2005,8227829.0
139,Austria,Developed,79.3,0.0,12.1,83.0,15,83.0,1.56,83.0,0.1,36821.5214680093,1.7,14.7,52.2,5316.877456,86.0,2004,8171966.0
140,Austria,Developed,78.8,0.0,12.2,83.0,90,84.0,1.48,84.0,0.1,32222.8972411655,1.7,14.7,51.7,504.4308735,88.0,2003,8121423.0
141,Austria,Developed,78.7,0.0,12.5,81.0,0,82.0,1.27,83.0,0.1,26401.7454564357,1.7,16.1,51.2,3979.057728,9.0,2002,881957.0
142,Austria,Developed,78.6,0.0,12.4,44.0,0,83.0,1.12,84.0,0.1,24537.5142629883,1.7,15.5,5.6,3582.848308,92.0,2001,842293.0
143,Austria,Developed,78.1,0.0,13.2,33.0,0,71.0,1.6,81.0,0.1,24564.4582948404,1.7,15.4,5.1,3557.455507,96.0,2000,811566.0
145,Azerbaijan,Developing,72.5,5.0,0.01,94.0,0,97.0,6.4,94.0,0.1,7891.31314749986,2.8,12.2,51.5,306.1824313,119.0,2014,953579.0
146,Azerbaijan,Developing,72.2,5.0,2.14,93.0,164,96.0,5.54,93.0,0.1,7875.75695254288,2.8,11.9,5.6,275.6514934,121.0,2013,941681.0
147,Azerbaijan,Developing,71.9,5.0,0.01,88.0,0,92.0,5.37,89.0,0.1,7496.29464768263,2.8,11.8,49.7,285.6103912,123.0,2012,9295784.0
148,Azerbaijan,Developing,71.6,5.0,1.98,84.0,0,91.0,5.1,87.0,0.1,7189.69122920765,2.8,11.7,48.8,263.142699,125.0,2011,917382.0
149,Azerbaijan,Developing,71.1,5.0,1.98,8.0,0,85.0,5.33,81.0,0.1,5843.5337683582,2.8,11.7,48.0,246.5686008,13.0,2010,954332.0
150,Azerbaijan,Developing,78.0,6.0,2.1,74.0,0,84.0,5.85,81.0,0.1,4950.29479142375,2.8,11.6,47.3,22.48638351,132.0,2009,8947243.0
151,Azerbaijan,Developing,73.0,6.0,1.18,68.0,5,85.0,4.37,81.0,0.1,5574.60380218613,2.8,11.6,46.6,206.2616134,141.0,2008,87634.0
152,Azerbaijan,Developing,73.0,6.0,1.02,62.0,0,81.0,5.1,79.0,0.1,3851.43786871172,2.8,11.6,45.9,176.0107106,14.0,2007,85813.0
153,Azerbaijan,Developing,69.2,6.0,0.85,52.0,222,80.0,6.17,78.0,0.1,2473.08181863536,2.9,10.7,45.3,105.6337264,154.0,2006,848455.0
154,Azerbaijan,Developing,68.4,6.0,0.73,49.0,1238,79.0,7.86,75.0,0.1,1578.40239029603,2.9,11.2,44.7,81.28883085,162.0,2005,839185.0
155,Azerbaijan,Developing,68.4,6.0,0.62,5.0,827,78.0,7.92,77.0,0.1,1045.00937916805,3.0,11.0,44.2,8.59680496,154.0,2004,8365.0
156,Azerbaijan,Developing,67.8,7.0,0.55,51.0,1978,79.0,6.56,77.0,0.1,883.733971498452,3.0,10.8,43.6,42.41491183,154.0,2003,82341.0
157,Azerbaijan,Developing,67.8,7.0,0.55,5.0,4353,80.0,4.47,76.0,0.1,763.080637985358,3.1,10.6,43.1,39.33253687,146.0,2002,817195.0
177,Bahrain,Developing,76.8,0.0,1.57,98.0,46,98.0,4.98,98.0,0.1,24989.437527708,6.1,14.5,62.9,367.2556742,7.0,2014,
178,Bahrain,Developing,76.7,0.0,1.65,99.0,0,99.0,4.69,99.0,0.1,24744.296958551,6.1,14.5,62.2,3.968695982,7.0,2013,
179,Bahrain,Developing,76.5,0.0,1.7,99.0,0,99.0,4.37,99.0,0.1,23654.3695877495,6.1,14.5,61.5,2211.215778,71.0,2012,
180,Bahrain,Developing,76.1,0.0,1.66,99.0,0,99.0,3.4,99.0,0.1,22514.202716483,6.1,14.4,6.8,197.7734681,76.0,2011,
181,Bahrain,Developing,76.1,0.0,1.93,99.0,0,99.0,3.64,99.0,0.1,20722.0704900745,6.0,14.4,6.1,266.7696122,73.0,2010,
182,Bahrain,Developing,76.0,0.0,1.95,98.0,3,97.0,3.79,98.0,0.1,19355.9210050895,6.0,14.4,59.3,332.9347646,74.0,2009,
183,Bahrain,Developing,75.8,0.0,2.0,97.0,2,97.0,3.17,97.0,0.1,23066.4509824376,6.0,14.4,58.5,231.5478912,76.0,2008,
184,Bahrain,Developing,75.6,0.0,2.0,97.0,7,97.0,3.8,97.0,0.1,20976.442287272,6.1,14.4,57.6,278.3602806,77.0,2007,
185,Bahrain,Developing,75.5,0.0,2.1,98.0,3,98.0,3.8,98.0,0.1,19307.5089373876,6.1,14.2,56.8,170.7374027,79.0,2006,
186,Bahrain,Developing,75.3,0.0,2.05,98.0,4,98.0,3.16,98.0,0.1,17959.3968267194,6.1,14.0,56.1,1553.468944,81.0,2005,
187,Bahrain,Developing,75.2,0.0,2.16,98.0,11,98.0,3.37,98.0,0.1,15846.5059474506,6.1,13.9,55.6,1380.228095,83.0,2004,
188,Bahrain,Developing,75.0,0.0,2.16,98.0,12,97.0,3.74,97.0,0.1,14222.0367965749,6.1,13.7,55.2,1214.558167,85.0,2003,
189,Bahrain,Developing,74.9,0.0,1.99,98.0,8,98.0,3.89,98.0,0.1,13049.9097291643,6.2,13.5,55.0,106.4303336,87.0,2002,
190,Bahrain,Developing,74.7,0.0,1.95,99.0,5,99.0,3.8,99.0,0.1,12868.1769170821,6.2,13.3,54.8,1150.418063,9.0,2001,
191,Bahrain,Developing,74.5,0.0,2.15,97.0,6,97.0,3.51,97.0,0.1,13636.4167499288,6.2,13.2,54.5,167.7270642,92.0,2000,
193,Bangladesh,Developing,71.4,98.0,0.01,97.0,289,97.0,2.82,97.0,0.1,1118.87380783368,18.1,10.0,17.7,10.44640334,132.0,2014,15945279.0
194,Bangladesh,Developing,71.0,104.0,0.01,96.0,237,96.0,2.88,96.0,0.1,981.860851354457,18.3,10.0,17.0,52.82986467,135.0,2013,157571292.0
195,Bangladesh,Developing,77.0,111.0,0.01,94.0,1986,94.0,3.8,94.0,0.1,883.117129615718,18.5,9.9,16.4,59.2589257,137.0,2012,15572753.0
196,Bangladesh,Developing,73.0,118.0,0.01,96.0,5625,96.0,3.16,96.0,0.1,861.762162181077,18.7,9.4,15.8,62.34988484,14.0,2011,153911916.0
197,Bangladesh,Developing,69.9,126.0,0.01,94.0,788,94.0,3.6,94.0,0.1,781.153577677298,18.9,8.9,15.2,62.65945432,142.0,2010,15214912.0
198,Bangladesh,Developing,69.5,135.0,0.01,97.0,718,97.0,2.91,97.0,0.1,702.264419644314,19.1,8.4,14.6,53.26400378,144.0,2009,1545478.0
199,Bangladesh,Developing,69.1,144.0,0.01,96.0,2660,96.0,2.85,96.0,0.1,634.987069668507,19.3,8.6,14.0,42.48865034,147.0,2008,14885814.0
200,Bangladesh,Developing,68.6,154.0,0.01,95.0,2924,96.0,2.8,94.0,0.1,558.051840707954,19.5,8.6,13.5,46.36536703,151.0,2007,147139191.0
201,Bangladesh,Developing,68.2,164.0,0.01,86.0,6192,95.0,2.8,94.0,0.1,509.640189887604,19.7,8.4,13.0,42.3304549,152.0,2006,1453684.0
202,Bangladesh,Developing,67.8,174.0,0.01,45.0,25934,94.0,2.68,93.0,0.1,499.461940239156,19.9,8.2,12.5,38.05462002,155.0,2005,14343111.0
203,Bangladesh,Developing,67.3,185.0,0.01,11.0,9743,88.0,2.62,99.0,0.1,475.291930195819,2.1,8.1,12.0,4.11469667,158.0,2004,14137489.0
204,Bangladesh,Developing,66.8,196.0,0.01,5.0,4067,90.0,2.51,87.0,0.1,446.310675745944,2.3,7.9,11.6,35.48458957,161.0,2003,139191.0
209,Barbados,Developing,75.4,0.0,8.82,94.0,0,95.0,7.47,94.0,0.1,16489.0722373387,3.8,15.3,53.7,294.9056584,1.0,2014,
210,Barbados,Developing,75.2,0.0,8.74,91.0,0,91.0,7.57,91.0,0.1,16451.2793094473,3.8,15.3,53.0,263.0372838,11.0,2013,
211,Barbados,Developing,75.1,0.0,8.61,87.0,0,88.0,7.43,87.0,0.1,16249.6739490585,3.8,15.3,52.2,260.0043858,12.0,2012,
212,Barbados,Developing,74.9,0.0,8.51,91.0,0,91.0,6.67,91.0,0.1,16458.3532105715,3.8,15.5,51.4,173.9825629,14.0,2011,
213,Barbados,Developing,74.7,0.0,8.41,86.0,0,90.0,6.17,86.0,0.1,16056.3709766031,3.8,15.8,5.7,154.9630863,16.0,2010,
214,Barbados,Developing,74.6,0.0,8.46,93.0,0,93.0,6.21,93.0,0.1,15885.410181888,3.8,15.5,49.9,327.1618128,19.0,2009,
215,Barbados,Developing,74.4,0.0,8.95,85.0,0,85.0,6.1,85.0,0.1,17092.5821408414,3.9,15.3,49.2,25.52277112,111.0,2008,
216,Barbados,Developing,74.2,0.0,8.47,93.0,0,93.0,5.64,93.0,0.1,16770.6610309974,3.9,15.0,48.4,1641.30981,113.0,2007,
217,Barbados,Developing,74.1,0.0,8.39,84.0,0,85.0,5.27,84.0,0.1,15199.5675286062,4.0,14.8,47.7,181.5000856,115.0,2006,
218,Barbados,Developing,73.9,0.0,8.01,92.0,0,91.0,5.38,92.0,0.1,13822.7417486972,4.0,14.6,46.9,1311.440423,117.0,2005,
219,Barbados,Developing,73.8,0.0,7.68,93.0,0,93.0,5.71,93.0,0.2,12512.5779652212,4.1,14.4,46.2,166.0083443,119.0,2004,
220,Barbados,Developing,73.7,0.0,7.65,91.0,0,90.0,5.82,89.0,0.4,11699.3704685216,4.1,14.2,45.4,13.5139917,121.0,2003,
221,Barbados,Developing,73.5,0.0,7.59,66.0,0,86.0,5.76,87.0,0.8,11361.5167707179,4.2,14.0,44.6,133.099491,123.0,2002,
222,Barbados,Developing,73.4,0.0,7.38,18.0,0,93.0,5.47,84.0,0.7,11209.4211248688,4.2,14.0,43.8,138.1664627,125.0,2001,
225,Belarus,Developing,72.0,0.0,13.94,97.0,64,97.0,5.69,97.0,0.1,8318.51268992675,1.9,15.7,61.7,1147.1114,199.0,2014,9474511.0
226,Belarus,Developing,71.7,0.0,14.66,98.0,16,98.0,6.7,98.0,0.1,7978.87261471076,2.0,15.7,61.1,1109.854619,23.0,2013,9465997.0
227,Belarus,Developing,71.9,0.0,16.35,97.0,10,98.0,5.1,98.0,0.1,6940.15925359735,2.0,15.6,6.5,91.70962117,194.0,2012,9464495.0
228,Belarus,Developing,72.0,0.0,17.31,98.0,50,98.0,4.92,98.0,0.1,6519.23019498892,2.0,15.5,59.9,846.9113071,232.0,2011,9473172.0
229,Belarus,Developing,73.0,0.0,14.44,96.0,1,99.0,5.55,98.0,0.1,6029.3967998293,2.0,15.5,59.3,8.49409518,222.0,2010,949583.0
230,Belarus,Developing,70.0,0.0,14.09,98.0,0,98.0,6.9,96.0,0.1,5351.35538243278,2.1,15.4,58.7,434.7985025,226.0,2009,956765.0
231,Belarus,Developing,70.0,1.0,14.67,98.0,0,98.0,5.95,97.0,0.1,6377.36973201232,2.1,15.1,58.2,501.8056141,224.0,2008,9527985.0
232,Belarus,Developing,69.8,1.0,14.22,91.0,1,90.0,6.44,95.0,0.1,4735.65760793999,2.2,14.9,57.7,464.077513,226.0,2007,956953.0
233,Belarus,Developing,68.9,1.0,12.6,98.0,149,97.0,6.34,99.0,0.1,3847.43412382153,2.2,14.6,57.2,364.426052,243.0,2006,964924.0
234,Belarus,Developing,68.1,1.0,11.01,99.0,1,98.0,6.89,99.0,0.1,3125.81053502853,2.3,14.4,56.7,45.65007798,252.0,2005,9663915.0
235,Belarus,Developing,68.2,1.0,12.05,99.0,2,99.0,6.59,99.0,0.1,2378.62328600741,2.4,14.1,56.2,42.33443901,247.0,2004,973146.0
236,Belarus,Developing,67.7,1.0,11.17,56.0,21,53.0,6.59,5.0,0.1,1819.76605926177,2.5,13.9,55.8,23.83578594,253.0,2003,9796749.0
